,Price,Description,Skills,Bids,Verified,Days
0,$30 - $250,I am a Chinese business looking for a payment processing specialist to accept international credit cards,"Payment Gateway Integration
WordPress",0 bids,VERIFIED,6 days left
1,$750 - $1500,"Youtube and Facebook video advertisement to fundraise for the purchase of land to expand a masjid in Stockton, CA. The masjid is a non-profit organization with an opportunity to purchase 4 acres of land directly behind the masjid. The land will be used to expand the community center by adding prayer halls, multi-purpose rooms, classrooms, kitchen and expand the current parking lot.","Audio Production
Video Production",0 bids,VERIFIED,6 days left
2,"$18 / hr
                                (Avg Bid)","Hi! I’m looking for clients. I’m offering services like product listings on channels including Lazada, Shopee, Zalora and Shopify. I also do campaign promotions, vouchers and discounts. If you need my help, drop me a message! Thank you!","Data Entry
eCommerce
Shopify
Shopify Templates
Website Design",15 bids,VERIFIED,6 days left
3,"$75
                                (Avg Bid)","I am looking for a skilled AR developer who can create Augmented Reality filters for social media platforms. The project requires the development of AR filters that can be used on both Android and iOS devices. The main focus of the project is to create 3D models that can be integrated into the AR filters. 

Ideal Skills and Experience:
- Experience in developing AR filters for social media platforms
- Proficiency in AR app development for both Android and iOS
- Strong knowledge of 3D modeling and integration into AR environments 
- Familiarity with image and text recognition technologies","Android
C# Programming
iPhone
Mobile App Development
Unity 3D",4 bids,VERIFIED,6 days left
4,"$85
                                (Avg Bid)","Data Scraping and Lead Generation

I am looking for a freelancer who can scrape specific websites or sources to gather business details on a daily basis. 

Requirements:
- Experience in web scraping and lead generation
- Proficiency in programming languages such as Python, Java, or Ruby
- Familiarity with data extraction tools and techniques
- Ability to extract business details such as company name, address, contact information, and industry
- Attention to detail and accuracy in data collection
- Effective time management to ensure daily scraping is performed efficiently

If you have the skills and experience necessary for this project, please submit your proposal.","Data Mining
Lead Generation
Python
Web Scraping
Web Search",1 bids,VERIFIED,6 days left
5,"$161
                                (Avg Bid)","Experienced UX/UI designer with a strong background in Figma and current design trends wanted to work for a boutique digital agency on different websites/web apps.

KEY RESPONSIBILITIES:

- Design approximately 15 desktop screens or 20 mobile screens monthly
- Convert sketches or wireframes into finished mockups
- Create visually stunning and intuitive interfaces that enhance user experience
- Collaborate with the team to brainstorm ideas then turn concepts into user-friendly interfaces
- Redesign desktop screens for mobile responsiveness
- Proactively provide creative solutions and improvements to existing designs and user flows
- Please include the key word 'Lavender' in your bid to indicate you actually read the brief

CANDIDATE REQUIREMENTS:

The candidate should...

- Be cre...","App Design
Figma
UI / User Interface
UX / User Experience
Website Design",7 bids,VERIFIED,6 days left
6,"$1587
                                (Avg Bid)","I am looking to build a geolocation app that will be developed to run on both iOS and Android mobile devices. It will provide outdoor navigation so that users can easily find their way to where they need to go. 

I have specific features and functionalities in mind for this app, so I'm looking for a talented developer who can bring this project to life. The ideal candidate will be creative and have experience with developing geolocation apps. The app should have a clean, intuitive interface, and should be developed to be easy to use. In addition, the app should provide accurate and up-to-date information about location and directions. 

If you have the skills required to successfully create this geolocation app, then please get in touch!","Android
iPad
iPhone
Mobile App Development
Objective C",15 bids,VERIFIED,6 days left
7,"$87
                                (Avg Bid)",I need help creating a compelling bio for my psycho therapy website and psychology  today ad. To attract new psychotherapy clients,"Advertising
Biography Writing
Copywriting
LinkedIn Profile
Online Writing",13 bids,VERIFIED,6 days left
8,"$32 / hr
                                (Avg Bid)","Looking for only US based Individuals. Companies and agencies dont apply


Looking for Matomo expert in tag manager, user rights, java script, on PHP Codeigniter.

I have a client who has a website of Plumbing directory website. They were formed to make it easy for homeowners and businesses to find a great plumber

The client is looking for analytics data features about the website. They want to know the following:

•	He wants to know what IP address of the person who’s calling and then the URL and then which plumber did they even put in a zip code
•	URL of the website they are visiting
•	Zip code they are searching for
•	Which plumber they chose from the list of results
•	Whether they called the plumber
•	Whether the plumber picked up the phone
•	I...","Codeigniter
HTML
MySQL
PHP
Website Design",23 bids,VERIFIED,6 days left
9,"$524
                                (Avg Bid)","seeking a skilled and experienced developer to create a web and mobile app for both iOS and Android platforms. The client already has a design for the app and website, which will be a modification of a WP theme and Flutter app.

Ideal skills and experience for this project include:
- AWS, server configuration
- Chat GPT integration
- Proficiency in iOS and Android app development
- Maps API
- Payment Processing (Stripe, Skrill, Square or PayPal)
- Developing high security Wallet-type functionality
- Strong design and user interface skills
- Ability to meet deadlines and work efficiently
- Experience with web and mobile app development projects
- Excellent communication and collaboration skills","ChatGPT
Google Maps API
Mobile App Development
PayPal
PHP",18 bids,VERIFIED,6 days left
